tag,rmse,mae,seg_1-12,seg_13-24,seg_25-48,seg_49-72
Original DeepONet (Lu 2021),8.132726557218753,5.973356817138259,6.106842549482734,7.629088824400665,8.503227748420601,9.026986236293952
"FEDONet (Sojitra 2025), sigma=1.0",8.053650309527509,5.933498199287926,6.072901902334998,7.582573212989506,8.44289099555241,8.890322375367868
"FEDONet (Sojitra 2025), sigma=5.0",8.076095174206806,5.9353399394968855,6.063254693733348,7.588833190235449,8.459044152430183,8.943197428205837
"FEDONet (Sojitra 2025), sigma=10.0",7.959330006562963,5.85757446623875,6.041322660316546,7.506460584370981,8.321759832804844,8.782338564540282
